user,ch_num_sessions,ch_time_in_prob_sum,ch_time_in_video_sum,ch_ratio_clicks_weekend_day,ch_total_clicks_weekend,ch_total_clicks_weekday,ch_time_sessions_mean,ch_time_sessions_std,bo_delay_lecture,bo_reg_peak_dayhour,bo_reg_periodicity_m1,ma_competency_strength,ma_competency_anti,ma_content_anti,ma_student_shape,ma_student_speed,mu_speed_playback_mean,mu_frequency_action_relative_video_pause,wa_num_subs,wa_num_subs_correct,wa_num_subs_avg,wa_num_subs_perc_correct,la_pause_dur_mean,la_seek_len_std,la_pause_dur_std,la_time_speeding_up_mean,la_time_speeding_up_std,la_weekly_prop_watched_mean,la_weekly_prop_interrupted_mean,la_weekly_prop_interrupted_std,la_weekly_prop_replayed_mean,la_weekly_prop_replayed_std,la_frequency_action_video_play,grade,gender,category,year
0,1.9,2334.4,2951.8,0.85,16.8,38.1,1392.8583333333333,790.7620318527403,55068.3875,51.462990552957955,2.5559031385890494,0.20454545454545453,0.0,0.006060606060606061,0.20606060606060606,42.4,0.9685189020471248,0.13743593768625206,3.0,2.0,0.3939393939393939,0.20357142857142857,62.72001242236024,52.61612370345826,114.53866304778687,38.630305376278145,85.33204140759673,0.24571428571428572,0.024285714285714285,0.0,0.01,0.0,0.17920269650176013,4.5,,,Y2-2018-19
1,3.4,1698.4,9227.8,0.5675,4.0,179.4,3068.720238095238,1257.5044070847782,-2883.367738095238,129.051645759516,4.498835763185695,0.6463782051282051,0.0008547008547008548,0.00909090909090909,0.6310439560439561,17.89166666666667,1.1220137684326383,0.3613894309332111,9.0,5.9,1.343956043956044,0.6496428571428572,77.77462214244893,76.649582395868,102.0081584754287,43.669027263737505,76.3255407443783,0.7488675213675213,0.07468253968253968,0.0,0.06645604395604396,0.0,0.3324241706386436,4.5,M,Suisse.Autres,Y2-2018-19
2,5.3,2340.6,10801.3,26.562274146475836,94.6,129.2,1750.2892676767674,1024.1340425293322,10027.216666666669,127.16466752720335,4.269685077162224,0.3339250700280112,0.20769426623404227,0.23748818298818303,0.4002380952380952,30.40285714285714,0.807089552238806,0.27221029391037094,6.1,3.0,1.1890476190476191,0.36517857142857146,39.15755558528959,31.505908174053552,69.94463276989724,3.5416666666666665,7.433011016928321,0.35448717948717945,0.026666666666666665,0.0,0.05991452991452991,0.0,0.28440744812779284,5.25,M,Suisse.PAM,Y2-2018-19
3,2.8,2737.1,8185.5,3.69125,13.5,46.4,20203.59025974026,656.0529011946943,27596.86448412698,29.03315429488786,3.149807889398836,0.30454545454545456,0.003153551429413498,0.01187878787878788,0.2946969696969697,12.179166666666665,0.5,0.15122276908879992,4.6,3.2,0.5018939393939394,0.2915463621345974,148.17698605488079,43.3150166225739,292.5605728031286,0.0,0.0,0.37,0.014285714285714285,0.0,0.02,0.0,0.10877401869221112,4.5,F,Suisse.Autres,Y2-2018-19
4,2.5,3787.3,7040.0,1.5438892294408642,58.4,64.9,3373.9083333333338,1363.320364884255,-914.6333333333334,89.824892133352,3.420636760358952,0.03333333333333333,0.25548388429169855,0.2904210834210834,0.0,10.791666666666668,0.846793568463313,0.19640336432580918,0.3,0.1,0.3,0.03333333333333333,65.80807823907595,44.67384846382721,112.41230146858443,24.361062091503268,38.38765352710682,0.03,0.0,0.0,0.02,0.0,0.19977496898275793,4.75,F,France,Y2-2018-19
5,2.5,2568.9,3718.9,0.00967741935483871,31.2,50.8,1753.6474999999998,1190.7935889162177,12406.195238095239,66.5883033649897,2.639305871092234,0.2470352564102564,0.03025072340140833,0.036240786240786235,0.2894230769230769,54.6,1.0901956474897652,0.30860793618460597,3.8,2.4,0.6326923076923077,0.31857142857142856,55.71500017597579,64.9051678508313,86.04092072188881,33.693807700627296,83.39477821930552,0.32999999999999996,0.09761904761904762,0.0,0.047619047619047616,0.0,0.26196151414128943,4.0,M,Suisse.PAM,Y2-2018-19
6,4.2,5475.2,9711.6,0.4762629845316475,105.1,46.7,20410.67761904762,1561.5484151539117,-13723.616666666669,80.06785149941621,4.833916279347944,0.20208333333333334,0.1757971377982294,0.2786029016029016,0.15,32.57833333333333,0.9325904901079136,0.303720423901183,1.9,1.2,0.4125,0.19030303030303028,49.043137668158536,21.15232584088381,82.0175550196357,21.54107669616519,38.98454007432635,0.08,0.01,0.0,0.0,0.0,0.22918520934967912,4.25,F,France,Y2-2018-19
7,5.1,3128.8,10572.1,0.3661148871310183,95.9,62.8,1667.631818181818,1166.313839490165,-74874.50666666667,77.36878988292058,5.251708033039963,0.3055873015873016,0.1842669625097232,0.21660290160290163,0.24333333333333335,18.975,0.8,0.2669353155033657,5.0,2.0,1.1300000000000001,0.28011363636363634,88.56695741818017,98.71324422976008,155.84491176134105,0.0,0.0,0.2582753357753358,0.03539682539682539,0.0,0.058571428571428566,0.0,0.22999153136930653,4.75,F,France,Y2-2018-19
8,3.6,5380.9,13745.5,2.1722065361803096,195.2,107.8,18628.909523809525,2639.1223791852276,41957.65833333333,110.67974891768033,4.586560337502315,0.2125,0.22841542649301766,0.2731483561483562,0.175,32.18,0.8349638850477508,0.35576571686278585,2.1,1.1,0.5333333333333333,0.215,45.57043685482718,92.74745099877983,80.44039208435375,14.2826545152984,29.666144439284892,0.16439560439560438,0.0,0.0,0.0,0.0,0.3089830870086562,5.5,M,Suisse.PAM,Y2-2018-19
9,4.6,3584.1,13650.4,18.40899364650369,50.2,143.5,2635.1160317460317,1513.8938958113317,-33272.99982683982,94.74600574853562,4.851125420649659,0.3754477466977467,0.03832557961716474,0.08646220896220896,0.3482051282051282,21.11,1.140924488792379,0.2573529130138294,8.9,4.6,0.9492307692307692,0.3156135531135531,119.65987738340382,83.56151209779597,195.83095584582728,77.03179961703351,192.03262539769372,0.5754487179487179,0.06326923076923077,0.0,0.06438034188034188,0.0,0.25661633614987167,1.75,F,Suisse.Autres,Y2-2018-19
