Unique-id,namea,OffTask,Avgright,Avgbug,Avgpchange,Avgtime,AvgtimeSDnormed,Avgtimelast3SDnormed,Avgtimelast5SDnormed,Avgnotright,Avghowmanywrong-up,Avgwrongpct-up,Avgtimeperact-up,AvgPrev3Count-up,AvgPrev5Count-up,Avg recent5wrong,Avgmanywrong-up
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-1,stuZgy46jl,N,1,0,0,12,0.446098082,0.288201388,0.454262104,0,0,0,12,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-12,stuZ77be0l,N,1,0,0,7.5,-0.260955636,-0.774505753,0,0,0,0,8.75,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-13,stuZ5lp7k7,N,1,0,0,25.33333333,0.301574293,-1.529301457,-0.508076014,0,0,0,26.08333333,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-17,stuZ9idg5l,N,0.833333333,0,0,3.5,-0.554843899,-1.366454464,-2.018076178,0.166666667,0.166666667,0.166666667,4.902777778,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-19,stuZ4lil98,N,1,0,0,5.25,-0.525769705,-1.829774821,-2.621184431,0,0,0,5.875,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-21,stuZgy46jl,N,0.5,0,0,13,0.177151243,-0.037686273,-1.197378843,0.5,0.5,0.5,14.5,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-22,stuZxoxmpe,N,0,0,1,34,2.476222826,1.084494213,-0.021619918,1,37,27,6.75,2,4,3,1
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-23,stuZ6n5zl1,N,1,0,0,5.2,-0.364523251,-0.998949753,-1.545822494,0,0,0,5.3,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-26,stuZbsj5kw,N,1,0,0.5,16.5,1.680667935,1.756871137,1.838995703,0,0.5,0,9.25,0.5,0.5,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-27,stuZkagkh6,N,1,0,0,9,-0.210558033,-1.152812621,-1.879696446,0,0,0,12,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-3,stuZ6n5zl1,N,1,0,1,15,-0.039648652,-0.785438503,-1.464871936,0,1,0,15,1,1,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-30,stuZt7rs3h,N,0.8,0,0.4,3.4,-0.528733346,-0.050998655,0.562013133,0.2,0.8,0,10.61666667,0.6,0.6,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-32,stuZ77be0l,N,1,0,0,18,-0.482246078,-0.967846968,-1.94924533,0,0,0,18,0,0,2,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-33,stuZ5lp7k7,Y,0,0,1,0,-0.929410016,16.05929559,16.43133909,1,4,0,66.75,3,3,3,1
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-34,stuZu26cso,N,1,0,0,13.4,0.58863137,-1.352401601,-1.687378407,0,0,0,9.233333333,0,0,0.4,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-35,stuZaqqbve,N,0.8,0,0.4,4.2,-0.439961395,-0.994512609,-1.284877005,0.2,0.6,0.4,4.233333333,0.4,0.4,1.8,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-37,stuZ9idg5l,N,1,0,0,4.666666667,-0.518529913,-0.913051024,-1.534802973,0,0,0,8.05952381,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-38,stuZr7514u,N,1,0,0.5,7,-0.317093966,0.073434035,-0.75248538,0,0.5,0,4.3125,0,0,0.5,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-39,stuZ4lil98,N,0.8,0,0,4.4,-0.376478084,-1.052909667,-1.798903246,0.2,0.2,0.2,7.05,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-4,stuZet5bzv,N,0.5,0,0.5,18,-0.162564468,-0.62424141,3.08328834,0.5,3.75,0.5,19.41666667,0.5,1.5,2.25,0.25
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-40,stuZ5qilc2,N,0.75,0.25,0,15.75,0.294181816,-0.292442861,-0.19457663,0.25,0.25,0.25,23.6875,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-42,stuZxoxmpe,N,1,0,0,18,-0.210021322,-0.877109498,-1.34069668,0,0,0,26,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-44,stuZet5bzv,N,1,0,0.5,9,-0.400070808,-0.901199296,-1.582328032,0,1.5,0,13.48809524,0.5,0.5,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-45,stuZgkj7bs,N,1,0,0,29,0.747642354,-0.159461575,-1.768798127,0,1,0,21,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-46,stuZbsj5kw,N,1,0,0,13.5,0.087807995,0.297068432,-0.528850983,0,0.5,0,8.571428571,0,0,0.5,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-47,stuZkagkh6,N,1,0,0.5,15,0.751995465,-0.934285714,-1.996785714,0,0,0,8.083333333,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-48,stuZxdul63,N,1,0,0,7.5,-0.279293081,-0.045502244,0.050131946,0,0,0,6.75,0,0,1.5,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-49,stuZ4lwb76,N,1,0,0.5,13,-0.160610726,2.582159257,1.866755314,0,0.5,0,13.5,0.5,0.5,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-5,stuZgkj7bs,N,1,0,0,15,0.607987845,1.224108283,0,0,0,0,15,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-52,stuZ77be0l,N,1,0,0,23,0.398113883,-0.478557561,-1.187389083,0,0,0,14.66666667,0,0,2,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-53,stuZ5lp7k7,N,0.5,0.5,0.5,20.5,0.148384575,-0.073292567,1.035571849,0.5,1,0.5,20.33333333,0.5,0.5,0.5,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-54,stuZu26cso,N,1,0,0.666666667,15.33333333,0.895811123,0.877348175,2.433526298,0,0,0,14.1,1,1,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-55,stuZaqqbve,N,1,0,0,37,4.682729793,0.677215837,5.497662312,0,0,0,45.75,0,0,0.5,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-57,stuZ9idg5l,N,1,0,0,8.666666667,-0.28433206,-0.375707285,-0.930677266,0,0,0,6.875132275,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-58,stuZr7514u,N,1,0,0,14.5,-0.425041241,-1.403203473,-1.928246061,0,0,0,17.75,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-59,stuZ4lil98,Y,1,0,0,4,-0.318181818,2.34489207,4.489533753,0,0,0,4,0,0,3,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-61,stuZgy46jl,N,1,0,0,5.666666667,-0.385588761,-0.366979976,-0.988133291,0,2,0,8.857142857,0,0,0.666666667,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-62,stuZxoxmpe,N,1,0,0,8.5,-0.359698124,-1.501424137,-2.104450947,0,0,0,7.78125,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-63,stuZ6n5zl1,N,0.5,0.5,1,13.5,-0.155306196,-0.611555449,-1.533842664,0.5,7,2.5,11.24285714,3,5,5,1
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-64,stuZet5bzv,N,0.8,0.2,0.2,3.8,-0.485567809,-1.084843555,-1.709676047,0.2,0.8,0.4,3.866414141,0,0.2,0.8,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-65,stuZgkj7bs,N,1,0,0,18,1.199029938,-1.629293364,-2.908383868,0,0,0,5.5,0,0,3,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-67,stuZkagkh6,N,0,1,0,33,0.816050026,3.53083498,2.090476832,1,5,1,33,0,0,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-68,stuZxdul63,N,0.25,0,0.75,5.5,-0.607047798,-1.415114909,-1.9913427,0.75,3.75,2.25,8.851686508,1.5,2.25,3,0.75
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-69,stuZ4lwb76,N,1,0,0,29,1.300261622,-0.970218503,-1.458168273,0,0,0,38,0,0,0,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-7,stuZkagkh6,Y,0,0,1,10,-0.314781297,0,0,1,2,1,10,1,1,1,0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-71,stuZjsrh2j,N,0.8,0.2,0,4.4,-0.496140077,-1.19782616,-0.397594184,0.2,0.2,0.2,7.8,0,0,0,0
