Row,lesson,namea,prod,cell,right,bug,help,choice,string,number,point,pknow-1,Pknow-2,pchange,time,timeSDnormed,timelast3SDnormed,timelast5SDnormed,notright,howmanywrong-up,helppct-up,wrongpct-up,timeperact-up,Prev3Count-up,Prev5Count-up,recent8help, recent5wrong,manywrong-up,asymptoteA-up,asymptoteB-up,Coder,Unique-id
1353,CTA1Z12ZRAH,stuZ3ilopc,Skill135,R1C1,1,0,0,0,0,0,0,0.888286674,0.888286674,0,26,0.681900452,0.0,0.0,0,0,0,0,26.0,0,0,0,0,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_12:23:17-12
1392,CTA1Z12ZRAH,stuZ3ilopc,Skill84,Series1AddCurve,1,0,0,0,0,0,0,-1.0,0.206073547,1,7,-0.285714286,0.191807356,-0.45853278,0,1,0,0,7.0,1,1,0,2,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_12:23:17-31
1393,CTA1Z12ZRAH,stuZ3ilopc,Skill124,Series2Label,1,0,0,0,0,0,0,0.888286674,0.888286674,0,9,-0.288065844,0.253264145,-0.306605343,0,0,0,0,11.5,0,0,0,2,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_12:23:17-31
1426,CTA1Z12ZRAH,stuZ3ilopc,Skill24,N265013xstrategic,1,0,0,0,0,0,0,0.999899152,0.999899152,0,5,0.0,-0.81067694,-2.278785726,0,0,0,0,6.0,0,0,0,1,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_12:23:17-50
1427,CTA1Z12ZRAH,stuZ3ilopc,Skill115,R4C1,0,0,0,0,0,0,0,0.90931583,0.90931583,0,15,0.129439738,0.0,-1.719908731,1,1,0,1,14.5,0,0,0,1,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_12:23:17-50
1438,CTA1Z12ZRAH,stuZ3ilopc,Skill104,yScale,1,0,0,0,0,0,0,-1.0,0.979706094,1,4,-0.388287592,0.031866099,-0.472803428,0,1,0,0,7.375,2,2,0,0,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_12:23:17-69
1439,CTA1Z12ZRAH,stuZ3ilopc,Skill102,xMax,1,0,0,0,0,0,0,0.999899152,0.999899152,0,12,0.085324232,-0.308465404,-1.117970024,0,0,0,0,10.75,0,0,0,0,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_12:23:17-69
1459,CTA1Z12ZRAH,stuZ3ilopc,Skill128,R2C2,1,0,0,0,0,0,0,0.999999992,0.999999992,0,9,-0.12886969,0.048479187,-0.187951268,0,0,0,0,5.0,0,0,0,0,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_12:23:17-88
1460,CTA1Z12ZRAH,stuZ3ilopc,Skill128,R2C3,1,0,0,0,0,0,0,0.999999999,0.999999999,0,2,-0.514074074,-0.104063973,-0.375795318,0,0,0,0,4.666666667,0,0,0,0,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_12:23:17-88
1461,CTA1Z12ZRAH,stuZ3ilopc,Skill149,R3C2,0,1,0,0,0,0,0,0.990681806,0.990681806,0,12,-0.466458658,-0.419336588,-0.594464578,1,1,0,2,13.16666667,0,0,0,0,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_12:23:17-88
1508,CTA1Z12ZRAH,stuZ3ilopc,Skill124,Series1Label,1,0,0,0,0,0,0,0.999899152,0.999899152,0,22,0.155005022,-0.920177812,-1.508167752,0,1,0,0,15.2,0,0,0,0,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_12:12:57-14
1542,CTA1Z12ZRAH,stuZ3ilopc,Skill24,N17385300xstrategic,1,0,0,0,0,0,0,1.0,1.0,0,6,-0.125,-0.876820035,-0.916181152,0,0,0,0,5.583333333,0,0,0,3,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_12:12:57-34
1543,CTA1Z12ZRAH,stuZ3ilopc,Skill115,R7C1,1,0,0,0,0,0,0,0.993941875,0.993941875,0,8,-0.43284185,-0.843404193,-1.366442572,0,1,0,0,8.266666667,0,0,0,2,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_12:12:57-34
1578,CTA1Z12ZRAH,stuZ3ilopc,Skill128,R2C1,1,0,0,0,0,0,0,-1.0,0.999999994,1,5,-0.441632653,-0.610514462,-0.21639851,0,3,0,0,5.285714286,1,1,0,1,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_12:12:57-54
1579,CTA1Z12ZRAH,stuZ3ilopc,Skill146,R3C1,1,0,0,0,0,0,0,0.999990623,0.999990623,0,3,-0.436323851,-0.608155262,-1.269426726,0,0,0,0,3.0,0,0,0,1,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_12:12:57-54
1580,CTA1Z12ZRAH,stuZ3ilopc,Skill136,R1C2,1,0,0,0,0,0,0,0.999999999,0.999999999,0,14,-0.198801459,-0.854283035,-1.488470967,0,0,0,0,14.66666667,0,0,0,1,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_12:12:57-54
1654,CTA1Z12ZRAH,stuZ3ilopc,Skill124,Series2Label,1,0,0,0,0,0,0,1.0,1.0,0,27,0.993415638,-0.536665158,-2.256573889,0,0,0,0,14.16666667,0,0,0,0,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_12:12:57-94
1685,CTA1Z12ZRAH,stuZ3ilopc,Skill24,N80x320strategic,1,0,0,0,0,0,0,1.0,1.0,0,4,0.0,-1.741335195,-2.753321094,0,0,0,0,5.043478261,0,0,0,0,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_12:12:57-114
1686,CTA1Z12ZRAH,stuZ3ilopc,Skill115,R6C1,1,0,0,0,0,0,0,0.999999964,0.999999964,0,4,-0.598138748,-0.953105146,-1.9587265,0,5,0,0,8.666666667,0,0,0,0,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_12:12:57-114
1762,CTA1Z12ZRAH,stuZ3ilopc,Skill123,YLabel,1,0,0,0,0,0,0,-1.0,0.888286674,1,5,-0.419901998,-1.946444728,-3.379286578,0,1,0,0,7.0,1,1,0,2,0,0,0,jkalka,jkalka-close_loop_algebra-ins_iellyr-04.01.2011_at_12:16:37-8
1763,CTA1Z12ZRAH,stuZ3ilopc,Skill134,XLabel,0,0,0,0,0,0,0,0.28609832,0.28609832,0,4,-0.602580886,-1.457114935,-3.114276437,1,1,0,1,4.0,0,0,0,1,0,0,0,jkalka,jkalka-close_loop_algebra-ins_iellyr-04.01.2011_at_12:16:37-8
1764,CTA1Z12ZRAH,stuZ3ilopc,Skill120,XLabel,1,0,0,0,0,0,0,-1.0,0.888286674,1,3,-0.682064709,-1.249018881,-2.968927612,0,1,0,0,4.5,1,1,0,2,0,0,0,jkalka,jkalka-close_loop_algebra-ins_iellyr-04.01.2011_at_12:16:37-8
1765,CTA1Z12ZRAH,stuZ3ilopc,Skill124,Series1Label,1,0,0,0,0,0,0,1.0,1.0,0,14,-0.246735855,-1.704547593,-2.74176053,0,1,0,0,14.8,0,0,0,2,0,0,0,jkalka,jkalka-close_loop_algebra-ins_iellyr-04.01.2011_at_12:16:37-8
1811,CTA1Z12ZRAH,stuZ3ilopc,Skill140,yScale,1,0,0,0,0,0,0,0.999999128,0.999999128,0,2,-0.632972555,-1.436609708,-3.184269076,0,1,0,0,4.428571429,0,0,0,0,0,0,0,jkalka,jkalka-close_loop_algebra-ins_iellyr-04.01.2011_at_12:16:37-28
1812,CTA1Z12ZRAH,stuZ3ilopc,Skill124,Series1Label,1,0,0,0,0,0,0,1.0,1.0,0,8,-0.548041513,-1.649680265,-3.006564691,0,1,0,0,14.11764706,0,0,0,0,0,0,0,jkalka,jkalka-close_loop_algebra-ins_iellyr-04.01.2011_at_12:16:37-28
1813,CTA1Z12ZRAH,stuZ3ilopc,Skill124,Series2Label,1,0,0,0,0,0,0,1.0,1.0,0,12,-0.074485597,-1.595140892,-2.617623776,0,0,0,0,14.0,0,0,0,0,0,0,0,jkalka,jkalka-close_loop_algebra-ins_iellyr-04.01.2011_at_12:16:37-28
1888,CTA1Z12ZRAH,stuZ42oy6x,Skill124,Series2Label,1,0,0,0,0,0,0,0.888286674,0.888286674,0,10,-0.216872428,-1.59390693,-2.840642785,0,0,0,0,9.0,0,0,0,1,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_08:40:54-90
1889,CTA1Z12ZRAH,stuZ42oy6x,Skill84,Series1AddCurve,1,0,0,0,0,0,0,0.888286674,0.888286674,0,34,2.125,-1.212520235,-2.5094737,0,0,0,0,34.0,0,0,0,0,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_08:40:54-90
1942,CTA1Z12ZRAH,stuZ42oy6x,Skill102,xMax,1,0,0,0,0,0,0,0.94659377,0.94659377,0,16,0.41927015,0.608204035,-1.139455333,0,5,0,0,10.0,0,0,0,0,0,0,0,jkalka,jkalka-close_loop_algebra-ins_iellyr-04.01.2011_at_08:40:43-9
2046,CTA1Z12ZRAH,stuZ42oy6x,Skill1,DoneButtonGoalNode,1,0,0,0,0,0,0,0.960603836,0.960603836,0,3,-0.258655804,0.226051398,-0.293451836,0,1,0,0,7.380952381,0,0,0,0,0,0,0,jkalka,jkalka-close_loop_algebra-ins_iellyr-04.01.2011_at_08:40:43-81
2047,CTA1Z12ZRAH,stuZ42oy6x,Skill135,R1C1,1,0,0,0,0,0,0,0.999990623,0.999990623,0,18,0.183559578,-0.153556788,-0.05046155,0,0,0,0,11.0,0,0,0,0,0,0,0,jkalka,jkalka-close_loop_algebra-ins_iellyr-04.01.2011_at_08:40:43-81
2111,CTA1Z12ZRAH,stuZ42oy6x,Skill136,R1C3,1,0,0,0,0,0,0,1.0,1.0,0,17,0.159206799,0.731429132,-0.000206053,0,0,0,0,16.41666667,0,0,0,0,0,0,0,jkalka,jkalka-cog_tutor_ryans_study-ins_iellyr-04.04.2011_at_10:12:15-9
2112,CTA1Z12ZRAH,stuZ42oy6x,Skill152,R2C1,0,1,0,0,0,0,0,0.28609832,0.28609832,0,60,4.676734694,0.037275442,0.226087526,1,2,0,1,60.0,0,0,0,0,0,0,0,jkalka,jkalka-cog_tutor_ryans_study-ins_iellyr-04.04.2011_at_10:12:15-9
2217,CTA1Z12ZRAH,stuZ4epbt4,Skill115,R4C1,0,1,0,0,0,0,0,0.735153049,0.735153049,0,8,-0.364690147,0.286703935,-0.966588336,1,1,0,1,5.5,0,0,0,1,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_09:32:55-49
2218,CTA1Z12ZRAH,stuZ4epbt4,Skill108,R4C2,1,0,0,0,0,0,0,0.999899152,0.999899152,0,8,-0.212952021,-1.171109937,-0.6552291,0,0,0,0,5.0,0,0,0,2,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_09:32:55-49
2297,CTA1Z12ZRAH,stuZ4epbt4,Skill104,yScale,1,0,0,0,0,0,0,0.99982104,0.99982104,0,4,-0.388287592,-0.876209736,-2.313097151,0,2,0,0,10.42857143,0,0,0,2,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_09:32:55-95
2298,CTA1Z12ZRAH,stuZ4epbt4,Skill1,Series1Label,0,0,0,0,0,0,0,0.519190218,0.519190218,0,16,-0.146300636,-1.070072945,-2.035330661,1,2,0,2,4.727272727,0,0,0,2,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.30.2011_at_09:32:55-95
2360,CTA1Z12ZRAH,stuZ4epbt4,Skill128,R2C1,0,1,0,0,0,0,0,-1.0,0.999999998,1,5,-0.441632653,0.124838775,-0.427939493,1,2,0,2,4.272727273,1,1,0,1,0,0,0,awagner,awagner-closeloop-ins_iellyr-03.31.2011_at_09:24:55-3
