ContractID,CustomerID,Contract,StartDate
322XskrFqg,2833-SLKDQ,Month-to-month,2020-10-01
323vncUHJz,3427-GGZZI,Month-to-month,2018-06-01
325HA2j46h,0923-PNFUB,Month-to-month,2020-09-01
328G2SdyEP,7967-HYCDE,Month-to-month,2019-05-01
329SPbU9fd,5574-NXZIU,Two year,2014-10-01
32VHP5GNuM,8204-TIFGJ,Month-to-month,2018-02-01
32YzzCj5ac,3811-VBYBZ,Month-to-month,2020-01-01
32innDJpHu,5206-XZZQI,Month-to-month,2015-08-01
32t3DLrWM2,2446-PLQVO,Month-to-month,2020-08-01
32u58SqSB3,7706-YLMQA,One year,2014-03-01
32ud8HSav9,5578-NKCXI,One year,2015-03-01
33Dm2qKKe5,5577-OTWWW,Month-to-month,2019-07-01
33HVqw3Tgd,5651-CPDND,Month-to-month,2019-03-01
33acrFUHPv,1084-UQCHV,Month-to-month,2019-12-01
33eHZumjAP,6478-HRRCZ,One year,2017-05-01
33gfoDw5zz,9142-XMYJH,Month-to-month,2017-08-01
33mcqfi8rw,2985-FMWYF,Month-to-month,2018-02-01
33xcPA4qeT,0771-CHWSK,Two year,2014-07-01
345xvT23db,2209-XADXF,Month-to-month,2019-12-01
34MUvLQKcC,3665-JATSN,Month-to-month,2018-06-01
34MiKLvoe5,5828-AVIPD,One year,2018-06-01
34hPhUodnZ,3472-OAOOR,Month-to-month,2018-06-01
34iueDFBBy,8590-OHDIW,One year,2016-11-01
34kMTWHw29,0094-OIFMO,Month-to-month,2019-05-01
34tTKrbxje,4504-YOULA,Month-to-month,2017-02-01
358FyrxLhU,3920-HIHMQ,Month-to-month,2017-11-01
35CDfHEFac,0404-SWRVG,Month-to-month,2020-07-01
35CyNmTY9o,5055-BRMNE,Two year,2014-06-01
35JDhPeB7F,6861-OKBCE,Month-to-month,2019-05-01
35PW8c3eje,9831-BPFRI,One year,2017-08-01
35T32ADGKc,9018-PCIOK,Two year,2015-06-01
35kXBMnJDv,8612-GXIDD,Two year,2019-01-01
35qeEv3yyB,2067-QYTCF,Month-to-month,2014-09-01
35vJE8gXMq,0314-TKOSI,Month-to-month,2019-07-01
365gedHZEQ,0619-OLYUR,Two year,2014-01-01
369dz55JrP,0191-EQUUH,Two year,2017-12-01
36KSRsYcUL,4369-HTUIF,Month-to-month,2020-01-01
36Kqs9xx4c,5360-XGYAZ,Two year,2014-01-01
36RrZPzGng,1767-TGTKO,Month-to-month,2019-05-01
36Vcoz97KD,4000-VGMQP,One year,2016-11-01
36gx4outpr,3269-ATYWD,Month-to-month,2017-02-01
36sfAeSoT6,0487-RPVUM,Month-to-month,2014-12-01
36yvoJG5Cv,7233-PAHHL,Two year,2014-07-01
373akEPjH7,0098-BOWSO,Month-to-month,2017-10-01
