CustomerID,Gender,SeniorCitizen,Partner,Dependents,PaperlessBilling,PaymentMethod
0002-ORFBO,Female,0,Yes,Yes,Yes,Mailed check
0003-MKNFE,Male,0,No,No,No,Mailed check
0004-TLHLJ,Male,0,No,No,Yes,Electronic check
0011-IGKFF,Male,1,Yes,No,Yes,Electronic check
0013-EXCHZ,Female,1,Yes,No,Yes,Mailed check
0013-MHZWF,Female,0,No,Yes,Yes,Credit card (automatic)
0013-SMEOE,Female,1,Yes,No,Yes,Bank transfer (automatic)
0014-BMAQU,Male,0,Yes,No,Yes,Credit card (automatic)
0015-UOCOJ,Female,1,No,No,Yes,Electronic check
0016-QLJIS,Female,0,Yes,Yes,Yes,Mailed check
0017-DINOC,Male,0,No,No,No,Credit card (automatic)
0017-IUDMW,Female,0,Yes,Yes,Yes,Credit card (automatic)
0018-NYROU,Female,0,Yes,No,Yes,Electronic check
0019-EFAEP,Female,0,No,No,Yes,Bank transfer (automatic)
0019-GFNTW,Female,0,No,No,No,Bank transfer (automatic)
0020-INWCK,Female,0,Yes,Yes,Yes,Credit card (automatic)
0020-JDNXP,Female,0,Yes,Yes,No,Mailed check
0021-IKXGC,Female,1,No,No,Yes,Electronic check
0022-TCJCI,Male,1,No,No,No,Credit card (automatic)
0023-HGHWL,Male,1,No,No,Yes,Electronic check
0023-UYUPN,Female,1,Yes,No,No,Electronic check
0023-XUOPT,Female,0,Yes,No,No,Electronic check
0027-KWYKW,Female,0,Yes,Yes,Yes,Electronic check
0030-FNXPP,Female,0,No,No,No,Mailed check
0031-PVLZI,Female,0,Yes,Yes,No,Mailed check
0032-PGELS,Female,0,Yes,Yes,No,Bank transfer (automatic)
0036-IHMOT,Female,0,Yes,Yes,Yes,Bank transfer (automatic)
0040-HALCW,Male,0,Yes,Yes,No,Credit card (automatic)
0042-JVWOJ,Male,0,No,No,Yes,Bank transfer (automatic)
0042-RLHYP,Female,0,Yes,Yes,No,Bank transfer (automatic)
0048-LUMLS,Male,0,Yes,Yes,No,Credit card (automatic)
0048-PIHNL,Female,0,Yes,No,No,Bank transfer (automatic)
0052-DCKON,Male,0,Yes,No,No,Bank transfer (automatic)
0052-YNYOT,Female,0,No,No,No,Electronic check
0056-EPFBG,Male,0,Yes,Yes,Yes,Credit card (automatic)
0057-QBUQH,Female,0,No,Yes,Yes,Electronic check
0058-EVZWM,Female,0,Yes,No,Yes,Bank transfer (automatic)
0060-FUALY,Female,0,Yes,No,Yes,Electronic check
0064-SUDOG,Female,0,Yes,Yes,No,Bank transfer (automatic)
0064-YIJGF,Male,0,Yes,Yes,Yes,Bank transfer (automatic)
0067-DKWBL,Male,1,No,No,Yes,Electronic check
0068-FIGTF,Female,0,No,No,No,Mailed check
0071-NDAFP,Male,0,Yes,Yes,No,Credit card (automatic)
0074-HDKDG,Male,0,Yes,Yes,Yes,Bank transfer (automatic)
0076-LVEPS,Male,0,No,Yes,Yes,Mailed check
0078-XZMHT,Male,0,Yes,No,Yes,Bank transfer (automatic)
0080-EMYVY,Female,0,No,No,No,Credit card (automatic)
0080-OROZO,Female,0,No,No,Yes,Electronic check
0082-LDZUE,Male,0,No,No,Yes,Mailed check
0082-OQIQY,Male,0,No,No,Yes,Electronic check
0083-PIVIK,Male,0,No,No,No,Electronic check
0089-IIQKO,Female,0,Yes,Yes,Yes,Credit card (automatic)
0093-EXYQL,Female,1,No,No,Yes,Electronic check
0093-XWZFY,Male,0,No,No,Yes,Credit card (automatic)
0094-OIFMO,Female,1,No,No,Yes,Electronic check
0096-BXERS,Female,0,Yes,No,No,Electronic check
0096-FCPUF,Male,0,No,No,Yes,Mailed check
0098-BOWSO,Male,0,No,No,Yes,Electronic check
0100-DUVFC,Male,1,Yes,No,Yes,Electronic check
0103-CSITQ,Female,0,Yes,No,Yes,Bank transfer (automatic)
0104-PPXDV,Male,0,Yes,No,No,Credit card (automatic)
0106-GHRQR,Male,0,No,No,Yes,Bank transfer (automatic)
0106-UGRDO,Female,0,Yes,No,Yes,Electronic check
0107-WESLM,Male,0,No,No,Yes,Electronic check
0107-YHINA,Male,0,No,Yes,Yes,Electronic check
0111-KLBQG,Male,1,Yes,Yes,Yes,Mailed check
0112-QAWRZ,Male,0,Yes,Yes,Yes,Bank transfer (automatic)
0112-QWPNC,Male,0,Yes,No,No,Electronic check
0114-IGABW,Female,0,Yes,No,No,Bank transfer (automatic)
0114-PEGZZ,Female,0,No,No,No,Electronic check
0114-RSRRW,Female,0,Yes,No,Yes,Bank transfer (automatic)
0115-TFERT,Male,0,Yes,No,Yes,Electronic check
0117-LFRMW,Male,0,Yes,Yes,No,Bank transfer (automatic)
0118-JPNOY,Female,1,No,No,Yes,Credit card (automatic)
0121-SNYRK,Male,0,No,No,Yes,Mailed check
0122-OAHPZ,Female,0,No,No,Yes,Electronic check
0123-CRBRT,Female,0,Yes,Yes,No,Mailed check
0125-LZQXK,Male,0,No,No,Yes,Electronic check
0128-MKWSG,Female,0,No,Yes,No,Mailed check
0129-KPTWJ,Male,0,Yes,No,Yes,Electronic check
0129-QMPDR,Male,0,Yes,Yes,Yes,Bank transfer (automatic)
0130-SXOUN,Male,0,No,No,No,Credit card (automatic)
0133-BMFZO,Female,0,No,No,Yes,Electronic check
0134-XWXCE,Female,1,No,No,No,Bank transfer (automatic)
0135-NMXAP,Female,0,No,No,Yes,Bank transfer (automatic)
0136-IFMYD,Male,1,Yes,No,Yes,Electronic check
0137-OCGAB,Female,0,No,No,Yes,Mailed check
0137-UDEUO,Female,0,No,No,No,Mailed check
0139-IVFJG,Female,0,Yes,No,No,Electronic check
0141-YEAYS,Female,1,No,No,Yes,Bank transfer (automatic)
0142-GVYSN,Male,0,No,No,Yes,Electronic check
0147-ESWWR,Female,1,Yes,No,Yes,Electronic check
0148-DCDOS,Male,0,No,No,Yes,Bank transfer (automatic)
0151-ONTOV,Female,0,No,No,No,Mailed check
0156-FVPTA,Male,0,Yes,No,Yes,Electronic check
0164-APGRB,Female,0,No,No,Yes,Electronic check
0164-XAIRP,Female,0,No,No,Yes,Bank transfer (automatic)
0168-XZKBB,Female,0,Yes,No,Yes,Electronic check
0174-QRVVY,Male,0,Yes,Yes,No,Credit card (automatic)
0177-PXBAT,Male,1,Yes,No,Yes,Bank transfer (automatic)
0178-CIIKR,Female,0,No,No,No,Mailed check
0178-SZBHO,Male,0,Yes,Yes,No,Electronic check
0181-RITDD,Male,0,Yes,Yes,No,Mailed check
0186-CAERR,Male,0,No,No,Yes,Bank transfer (automatic)
0187-QSXOE,Male,1,Yes,No,Yes,Electronic check
0187-WZNAB,Female,0,Yes,Yes,No,Mailed check
0188-GWFLE,Male,0,No,No,No,Mailed check
0191-EQUUH,Female,0,No,Yes,No,Bank transfer (automatic)
0191-ZHSKZ,Male,1,No,No,Yes,Electronic check
0193-ESZXP,Female,1,Yes,No,Yes,Credit card (automatic)
0195-IESCP,Male,0,Yes,No,Yes,Electronic check
0196-JTUQI,Female,0,No,No,Yes,Credit card (automatic)
0196-VULGZ,Female,1,Yes,No,Yes,Electronic check
0197-PNKNK,Female,0,Yes,Yes,No,Bank transfer (automatic)
0201-MIBOL,Female,1,No,No,Yes,Bank transfer (automatic)
0201-OAMXR,Female,0,No,No,No,Credit card (automatic)
0203-HHYIJ,Male,0,No,No,No,Bank transfer (automatic)
0206-OYVOC,Female,0,Yes,Yes,Yes,Mailed check
0206-TBWLC,Female,0,Yes,No,Yes,Mailed check
0207-MDKNV,Female,0,No,No,No,Electronic check
0208-BPQEJ,Female,0,Yes,Yes,No,Bank transfer (automatic)
0212-ISBBF,Female,0,No,No,Yes,Electronic check
0214-JHPFW,Female,0,Yes,No,No,Bank transfer (automatic)
0215-BQKGS,Male,0,No,No,Yes,Credit card (automatic)
0218-QNVAS,Male,0,Yes,Yes,No,Bank transfer (automatic)
0219-QAERP,Male,0,Yes,No,No,Credit card (automatic)
0219-YTZUE,Male,0,Yes,Yes,Yes,Bank transfer (automatic)
0220-EBGCE,Male,0,No,No,Yes,Electronic check
0221-NAUXK,Male,0,No,Yes,Yes,Bank transfer (automatic)
0221-WMXNQ,Male,1,No,No,No,Electronic check
0222-CNVPT,Male,1,No,No,Yes,Credit card (automatic)
0224-HJAPT,Male,0,No,No,No,Electronic check
0224-NIJLP,Male,0,Yes,Yes,No,Mailed check
0224-RLWWD,Female,1,No,No,Yes,Electronic check
0225-ZORZP,Male,0,No,No,No,Electronic check
0228-MAUWC,Male,0,No,No,No,Electronic check
0229-LFJAF,Male,0,No,No,No,Bank transfer (automatic)
0230-UBYPQ,Male,1,Yes,No,No,Bank transfer (automatic)
0230-WEQUW,Male,0,Yes,No,Yes,Bank transfer (automatic)
0231-LXVAP,Male,0,No,No,Yes,Electronic check
0233-FTHAV,Female,0,No,No,Yes,Bank transfer (automatic)
0234-TEVTT,Female,0,Yes,Yes,No,Credit card (automatic)
0235-KGSLC,Female,0,No,No,Yes,Credit card (automatic)
0236-HFWSV,Male,0,No,No,Yes,Electronic check
0237-YFUTL,Female,0,Yes,No,Yes,Bank transfer (automatic)
0238-WHBIQ,Male,0,Yes,Yes,No,Credit card (automatic)
0239-OXEXL,Female,0,No,No,No,Mailed check
0244-LGNFY,Female,0,Yes,Yes,No,Bank transfer (automatic)
0247-SLUJI,Male,0,Yes,Yes,No,Mailed check
0248-IPDFW,Female,0,No,No,Yes,Electronic check
0248-PGHBZ,Female,1,No,No,Yes,Bank transfer (automatic)
0253-ZTEOB,Female,0,Yes,Yes,No,Electronic check
0254-FNMCI,Female,0,No,No,Yes,Electronic check
