ContractID,ServiceValue,Service
DuVH7U4hBh,Yes,PhoneService
H6KQnE4KGy,Yes,PhoneService
i78bTMnP9s,Yes,PhoneService
9Y8aBZ4ahv,Yes,PhoneService
534hYh95Dk,Yes,PhoneService
3jHL7ebbC3,Yes,PhoneService
DZTJJfqvpw,Yes,PhoneService
8biz7VsLzc,Yes,PhoneService
5KBV7Cprob,Yes,PhoneService
G8eyDhFmhi,Yes,PhoneService
Dcn7X8pFLw,No,PhoneService
BrSf7rykhQ,Yes,PhoneService
FPiCu3b5X3,Yes,PhoneService
B5cjZrPm79,Yes,PhoneService
DtE5ggGGu6,No,PhoneService
ACjz88sasX,Yes,PhoneService
5qdZmuKD7F,No,PhoneService
JPyFJUjNxi,Yes,PhoneService
GHuBSVvsuk,Yes,PhoneService
3HLqe2eg7u,No,PhoneService
EDynJKcLq9,Yes,PhoneService
4hsZGFgD3s,Yes,PhoneService
Ejj4q9KHWL,Yes,PhoneService
JcjaMtfWPD,Yes,PhoneService
5r4pq7R9v7,Yes,PhoneService
K2FptDXmDj,No,PhoneService
JTkfmGARSs,Yes,PhoneService
8VydMQKriW,Yes,PhoneService
A7dQHrzASw,Yes,PhoneService
CAg6c6q6ye,Yes,PhoneService
Gkb8FHfWxA,Yes,PhoneService
7ib4fKVALc,Yes,PhoneService
FJ3nB7Xt7K,Yes,PhoneService
3eRrLvmFb2,Yes,PhoneService
CAxtkmhksV,No,PhoneService
84iPreNUCt,Yes,PhoneService
JLbcjRPWWw,Yes,PhoneService
8nibtzB34R,Yes,PhoneService
ChHUZKKLZt,Yes,PhoneService
DPZWMgkpbx,Yes,PhoneService
6m2zZmMFGy,Yes,PhoneService
3JEuRQkLBP,Yes,PhoneService
KfH3TgF2u2,Yes,PhoneService
F5Arg2BDA7,Yes,PhoneService
J8qgKbLGpJ,No,PhoneService
JTAdGyCuAe,Yes,PhoneService
KkyZXvhMWT,Yes,PhoneService
Fr4pzAqmbm,Yes,PhoneService
Kz4E96ToaA,Yes,PhoneService
5iPUUtYGaB,Yes,PhoneService
KGGqU8sUix,Yes,PhoneService
EvgzCiWztS,Yes,PhoneService
FAZuEAV8fc,Yes,PhoneService
CVwRDwfKYV,Yes,PhoneService
34kMTWHw29,Yes,PhoneService
EFD3dKNJKe,Yes,PhoneService
3csamE23Nm,Yes,PhoneService
373akEPjH7,Yes,PhoneService
FHyVzBftUp,Yes,PhoneService
7HSDsZRyGA,Yes,PhoneService
krGz374U7T,Yes,PhoneService
FENCRPU4Qn,Yes,PhoneService
Jr2hhfUDiA,Yes,PhoneService
FZf6NXFAda,Yes,PhoneService
HoRX8A6doA,Yes,PhoneService
Ju2NBPzDUd,Yes,PhoneService
5SUM64eQF6,Yes,PhoneService
KNFDFKq3Gw,Yes,PhoneService
GZ7a35fbgd,No,PhoneService
57dPGXqVb8,Yes,PhoneService
EqvsDofeWd,Yes,PhoneService
