user_id,order_id,problem_id,skill_name,correct,prior_success,prior_failure
14,21617623,93383,Circle Graph,0,0,0
14,21617632,93407,Circle Graph,1,0,1
14,21617641,93400,Circle Graph,0,1,1
14,21617650,93419,Circle Graph,0,1,2
14,21617659,93420,Circle Graph,0,1,3
14,21617667,93415,Circle Graph,0,1,4
14,21617675,93423,Circle Graph,0,1,5
14,21617692,57695,Circle Graph,0,1,6
14,21617731,58596,Circle Graph,1,1,7
14,21617749,57647,Circle Graph,0,2,7
14,21617805,58566,Circle Graph,1,2,8
14,21617825,58551,Circle Graph,0,3,8
64525,28186893,92320,Circle Graph,1,0,0
64525,28187093,92335,Circle Graph,1,1,0
64525,32413158,92327,Circle Graph,1,2,0
64525,33022751,93432,Circle Graph,0,3,0
64525,33023039,93447,Circle Graph,1,3,1
64525,33023131,93448,Circle Graph,1,4,1
64525,33023183,93429,Circle Graph,1,5,1
64525,33023245,57689,Circle Graph,0,6,1
64525,33023588,58584,Circle Graph,1,6,2
64525,33023618,57698,Circle Graph,1,7,2
64525,33023666,58542,Circle Graph,1,8,2
64525,33023719,47117,Circle Graph,1,9,2
64525,33023842,47090,Circle Graph,1,10,2
70363,35305403,47068,Circle Graph,0,0,0
70363,35305686,47081,Circle Graph,0,0,1
70363,35306351,47044,Circle Graph,0,0,2
70363,35306712,57716,Circle Graph,1,0,3
70363,35307058,57650,Circle Graph,0,1,3
70363,35384917,47108,Circle Graph,1,1,4
70363,35385665,57704,Circle Graph,1,2,4
70363,35397317,57644,Circle Graph,1,3,4
70363,35397465,57716,Circle Graph,1,4,4
70677,32839630,47045,Circle Graph,0,0,0
70699,32415856,93399,Circle Graph,0,0,0
70699,32416156,93405,Circle Graph,0,0,1
70699,32416348,93388,Circle Graph,0,0,2
70701,20226147,57677,Circle Graph,1,0,0
70701,20226165,57698,Circle Graph,1,1,0
70702,28195356,92334,Circle Graph,1,0,0
70702,32623543,92345,Circle Graph,0,1,0
70704,29429404,92343,Circle Graph,1,0,0
70704,29429410,92318,Circle Graph,1,1,0
70707,28192679,92323,Circle Graph,1,0,0
70707,32870939,92350,Circle Graph,1,1,0
70707,32871700,93393,Circle Graph,0,2,0
70707,33155607,58590,Circle Graph,0,2,1
70707,33155651,58572,Circle Graph,1,2,2
70707,33155774,58584,Circle Graph,1,3,2
70707,33155781,58569,Circle Graph,1,4,2
70707,33155814,47064,Circle Graph,1,5,2
70707,33155829,57719,Circle Graph,1,6,2
70707,33156092,93425,Circle Graph,1,7,2
70708,29483296,92350,Circle Graph,0,0,0
70727,33141886,93432,Circle Graph,1,0,0
70727,34955840,92352,Circle Graph,1,1,0
70727,34955975,92316,Circle Graph,1,2,0
70727,34956493,58515,Circle Graph,0,3,0
70727,34956704,58557,Circle Graph,1,3,1
70727,34956860,57704,Circle Graph,1,4,1
70727,34956889,57674,Circle Graph,1,5,1
70729,33392969,93373,Circle Graph,0,0,0
70729,33393068,93470,Circle Graph,0,0,1
70730,29524675,92334,Circle Graph,1,0,0
70731,29352622,92336,Circle Graph,0,0,0
70731,29353372,92340,Circle Graph,1,0,1
70733,28395820,92348,Circle Graph,1,0,0
70733,28395890,92324,Circle Graph,1,1,0
70733,28396386,92332,Circle Graph,1,2,0
70733,35278351,93436,Circle Graph,0,3,0
70733,35278445,93457,Circle Graph,0,3,1
70733,35278535,93371,Circle Graph,0,3,2
70733,35278690,93408,Circle Graph,1,3,3
70733,35278728,93452,Circle Graph,0,4,3
70733,35278753,93373,Circle Graph,0,4,4
70736,33304602,92355,Circle Graph,0,0,0
70736,34948152,93411,Circle Graph,0,0,1
70736,34948182,93430,Circle Graph,0,0,2
70736,34948397,93425,Circle Graph,0,0,3
70740,32002674,92322,Circle Graph,1,0,0
70740,32002752,92334,Circle Graph,0,1,0
70740,32002880,92347,Circle Graph,1,1,1
70744,35223874,92349,Circle Graph,0,0,0
70744,35223986,92321,Circle Graph,1,0,1
70745,32405380,92352,Circle Graph,1,0,0
70746,32525851,92329,Circle Graph,1,0,0
70746,32525857,92337,Circle Graph,1,1,0
70746,32880474,93463,Circle Graph,0,2,0
70746,32880520,93468,Circle Graph,1,2,1
70746,33161719,57704,Circle Graph,1,3,1
70746,33161800,58545,Circle Graph,1,4,1
70746,33161856,57719,Circle Graph,0,5,1
70746,33161899,47043,Circle Graph,0,5,2
70746,35511585,57713,Circle Graph,1,5,3
70746,35511604,47061,Circle Graph,0,6,3
70746,35511668,57662,Circle Graph,1,6,4
70746,35511681,47057,Circle Graph,0,7,4
70756,32001277,92326,Circle Graph,0,0,0
70756,32001609,92349,Circle Graph,1,0,1
70756,32001732,92339,Circle Graph,1,1,1
70756,33305016,92319,Circle Graph,1,2,1
70756,35035879,93375,Circle Graph,0,3,1
70756,35035896,57698,Circle Graph,1,3,2
70756,35035905,58596,Circle Graph,1,4,2
70756,35035919,47045,Circle Graph,0,5,2
70756,35035936,47114,Circle Graph,1,5,3
70756,35035944,47099,Circle Graph,1,6,3
70756,35035950,47120,Circle Graph,1,7,3
70759,28673613,57698,Circle Graph,1,0,0
70759,28673680,47067,Circle Graph,1,1,0
70816,34458297,92340,Circle Graph,1,0,0
70816,34458351,92346,Circle Graph,1,1,0
70872,30319263,58548,Circle Graph,0,0,0
70872,30319442,57641,Circle Graph,0,0,1
70872,30319527,57674,Circle Graph,1,0,2
70872,30319680,58524,Circle Graph,1,1,2
70872,30319722,57707,Circle Graph,1,2,2
70872,32270829,93377,Circle Graph,0,3,2
70872,32270921,93408,Circle Graph,0,3,3
70872,32271031,93380,Circle Graph,1,3,4
70872,32271069,93432,Circle Graph,0,4,4
70874,35725226,92333,Circle Graph,1,0,0
70874,35907108,93390,Circle Graph,0,1,0
70874,35907297,93469,Circle Graph,0,1,1
70874,35907432,93374,Circle Graph,0,1,2
70874,35907518,93371,Circle Graph,1,1,3
70874,35907595,93375,Circle Graph,1,2,3
70874,35907658,93384,Circle Graph,1,3,3
70874,35907780,58533,Circle Graph,0,4,3
70874,35907954,57665,Circle Graph,1,4,4
70874,35907996,58587,Circle Graph,0,5,4
70874,35908106,57722,Circle Graph,1,5,5
70874,35908179,58563,Circle Graph,0,6,5
70874,35934740,47062,Circle Graph,1,6,6
70874,35934755,47064,Circle Graph,1,7,6
71066,22044020,93383,Circle Graph,1,0,0
71066,22044711,93414,Circle Graph,1,1,0
71066,22044889,93410,Circle Graph,1,2,0
71066,22045037,57644,Circle Graph,1,3,0
71066,22045243,58542,Circle Graph,0,4,0
71066,22045644,57653,Circle Graph,0,4,1
71066,22046470,58557,Circle Graph,0,4,2
71066,22046816,58536,Circle Graph,0,4,3
71105,24330702,93406,Circle Graph,0,0,0
71105,24332346,93390,Circle Graph,0,0,1
71105,24332406,93376,Circle Graph,0,0,2
71105,24332606,93418,Circle Graph,0,0,3
71105,24332688,93450,Circle Graph,0,0,4
71105,24332834,93408,Circle Graph,0,0,5
71105,24332862,93438,Circle Graph,0,0,6
71105,24332900,93434,Circle Graph,0,0,7
71105,24333094,93464,Circle Graph,0,0,8
71105,24333388,93384,Circle Graph,0,0,9
71105,24333505,93402,Circle Graph,0,0,10
71105,25089308,93397,Circle Graph,1,0,11
71105,25089381,93405,Circle Graph,1,1,11
71105,25089501,93372,Circle Graph,0,2,11
71557,25339186,92337,Circle Graph,1,0,0
71740,30235492,92346,Circle Graph,1,0,0
71740,32833157,93401,Circle Graph,0,1,0
71740,32833167,93442,Circle Graph,0,1,1
71740,32833177,93385,Circle Graph,1,1,2
71740,32833184,93468,Circle Graph,1,2,2
71740,32833190,93449,Circle Graph,1,3,2
71740,32833201,57689,Circle Graph,1,4,2
71740,32833211,57713,Circle Graph,0,5,2
71740,32833262,58521,Circle Graph,1,5,3
71740,32833269,58575,Circle Graph,1,6,3
71740,32833279,58566,Circle Graph,1,7,3
71740,32833302,57713,Circle Graph,1,8,3
71740,32833316,57677,Circle Graph,0,9,3
71740,32833342,47054,Circle Graph,0,9,4
71740,32833375,47057,Circle Graph,1,9,5
71740,32833386,57644,Circle Graph,1,10,5
71740,35511431,92347,Circle Graph,0,11,5
71740,35512007,92319,Circle Graph,1,11,6
71810,32000801,92320,Circle Graph,1,0,0
71826,20432693,47144,Circle Graph,1,0,0
71826,20432779,57695,Circle Graph,0,1,0
71826,20433219,47048,Circle Graph,1,1,1
71826,20433270,47055,Circle Graph,1,2,1
